date,category,commodity,commodity_id,unit,price,usdprice
2012-10-15,pulses and nuts,Lentils,108,KG,11.6,1.9
2012-10-15,vegetables and fruits,Garlic,105,KG,9,1.48
2012-10-15,vegetables and fruits,Onions (red),110,KG,2.8,0.46
2012-10-15,vegetables and fruits,Onions (white),111,KG,2.3,0.38
2012-10-15,vegetables and fruits,Tomatoes,114,KG,5,0.82
2012-11-15,cereals and tubers,Pasta,112,KG,4.6,0.75
2012-11-15,cereals and tubers,Potatoes,83,KG,3.3,0.54
2012-11-15,cereals and tubers,Rice,52,KG,3.8,0.62
2012-11-15,cereals and tubers,Wheat flour,58,KG,4.8,0.79
2012-11-15,"meat, fish and eggs",Meat (beef),141,KG,58.1,9.52
2012-11-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17,2.79
2012-11-15,miscellaneous food,Sugar,97,KG,5.2,0.85
2012-11-15,oil and fats,Ghee (artificial),106,KG,11.3,1.85
2012-11-15,oil and fats,Ghee (natural),107,KG,40.4,6.62
2012-11-15,pulses and nuts,"Beans (fava, dry)",385,KG,10.6,1.74
2012-11-15,vegetables and fruits,Onions (red),110,KG,2.5,0.41
2012-11-15,vegetables and fruits,Onions (white),111,KG,2.2,0.36
2012-11-15,vegetables and fruits,Tomatoes,114,KG,2,0.33
2012-12-15,cereals and tubers,Pasta,112,KG,4.7,0.76
2012-12-15,cereals and tubers,Potatoes,83,KG,3,0.49
2012-12-15,"meat, fish and eggs",Meat (beef),141,KG,55.4,8.98
2012-12-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,18.9,3.06
2012-12-15,miscellaneous food,Sugar,97,KG,5,0.81
2012-12-15,oil and fats,Ghee (natural),107,KG,38.1,6.18
2012-12-15,oil and fats,Oil (maize),362,800 G,11.3,1.83
2012-12-15,pulses and nuts,Lentils,108,KG,10.9,1.77
2012-12-15,vegetables and fruits,Garlic,105,KG,11.3,1.83
2012-12-15,vegetables and fruits,Onions (red),110,KG,2.5,0.41
2012-12-15,vegetables and fruits,Tomatoes,114,KG,2,0.32
2013-01-15,cereals and tubers,Pasta,112,KG,4.9,0.74
2013-01-15,cereals and tubers,Potatoes,83,KG,2.9,0.44
2013-01-15,cereals and tubers,Rice,52,KG,4.1,0.62
2013-01-15,cereals and tubers,Wheat flour,58,KG,4.8,0.73
2013-01-15,"meat, fish and eggs",Eggs,92,Unit,0.8,0.12
2013-01-15,"meat, fish and eggs",Meat (beef),141,KG,56.6,8.6
2013-01-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,17.7,2.69
2013-01-15,oil and fats,Ghee (artificial),106,KG,11.8,1.79
2013-01-15,oil and fats,Ghee (natural),107,KG,38.1,5.79
2013-01-15,oil and fats,Oil (maize),362,800 G,13.4,2.04
2013-01-15,pulses and nuts,"Beans (fava, dry)",385,KG,11.4,1.73
2013-01-15,pulses and nuts,Lentils,108,KG,9.8,1.49
2013-01-15,vegetables and fruits,Garlic,105,KG,7.9,1.2
2013-01-15,vegetables and fruits,Onions (red),110,KG,3.4,0.52
2013-01-15,vegetables and fruits,Onions (white),111,KG,2.9,0.44
2013-01-15,vegetables and fruits,Tomatoes,114,KG,2,0.3
2013-02-15,cereals and tubers,Potatoes,83,KG,2.5,0.37
2013-02-15,cereals and tubers,Wheat flour,58,KG,4.62,0.69
2013-02-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,18.5,2.75
2013-02-15,miscellaneous food,Sugar,97,KG,5,0.74
2013-02-15,oil and fats,Ghee (artificial),106,KG,12.25,1.82
2013-02-15,oil and fats,Ghee (natural),107,KG,40.5,6.02
2013-02-15,pulses and nuts,"Beans (fava, dry)",385,KG,12.12,1.8
2013-02-15,pulses and nuts,Lentils,108,KG,11.5,1.71
2013-02-15,vegetables and fruits,Garlic,105,KG,6,0.89
2013-02-15,vegetables and fruits,Tomatoes,114,KG,1.75,0.26
2013-03-15,cereals and tubers,Pasta,112,KG,4.09,0.6
2013-03-15,cereals and tubers,Potatoes,83,KG,1.92,0.28
2013-03-15,cereals and tubers,Rice,52,KG,4.9,0.72
2013-03-15,cereals and tubers,Wheat flour,58,KG,4.5,0.66
2013-03-15,"meat, fish and eggs",Eggs,92,Unit,0.66,0.097
2013-03-15,"meat, fish and eggs",Meat (beef),141,KG,58.25,8.59
2013-03-15,"meat, fish and eggs","Meat (chicken, frozen)",207,KG,18.25,2.69
2013-03-15,miscellaneous food,Sugar,97,KG,6.03,0.89
2013-03-15,oil and fats,Ghee (artificial),106,KG,14.09,2.08
2013-03-15,oil and fats,Ghee (natural),107,KG,42.25,6.23
2013-03-15,pulses and nuts,"Beans (fava, dry)",385,KG,11,1.62
2013-03-15,pulses and nuts,Lentils,108,KG,10.96,1.62
2013-03-15,vegetables and fruits,Garlic,105,KG,8.69,1.28
2013-03-15,vegetables and fruits,Onions (red),110,KG,2.38,0.35
2013-03-15,vegetables and fruits,Onions (white),111,KG,1.97,0.29
2013-03-15,vegetables and fruits,Tomatoes,114,KG,2.53,0.37
